jid,jname,jci
664,泰之复,跛踦相随，日暮牛罢。陵迟后旅，失利亡雌。
665,泰之无妄,桑之将落，陨萁黄叶。失势倾侧，如无所立。
666,泰之大畜,长生以时，长柱根本。阴阳相和，岁乐无忧。
667,泰之颐,童女无室，未有配合。阴阳不和，空坐独宿。
668,泰之大过,春令原宥，仁德不周。三圣攸同，周国茂兴。
669,泰之坎,金景耀怒，带剑过午。两虎相距，虽惊无咎。
670,泰之离,危坐至暮，谋求不得。膏泽不降，政戾民忒。
671,泰之咸,老杨日衰，条多枯枝。爵级不进，日下摧颓。
672,泰之恒,蔡侯适楚，留连江湖。逾日历月，思其后君。
673,泰之遁,右抚剑头，作援钩带，凶讼不止，相与争戾，失利市肆。
674,泰之大壮,水流趋下，远至东海。求我所有，买鲔与鲤。
675,泰之晋,登几上舆，驾驷南游，合纵散衡，燕寝以强。
676,泰之明夷,求兔得獐，过其所望。欢一相迎，高位夷伤。
677,泰之家人,过时不归，道远且迷。旅人心悲，使我徘徊。
678,泰之睽,魂孤无室，御宿舍食。盗张民溃，见敌失内。
679,泰之蹇,居如转丸，危不得安。东西不宁，动生忧患。
680,泰之解,坤厚地载，庶物蕃息。平康正直，以绥百福。
681,泰之损,列敝牡荆，圣贤止悔。仇敌皆憎，孰肯相迎。上下有眚。
682,泰之益,凤凰衔书，玄珪赐我，封为晋侯。
683,泰之夬,作凶不善，相牵入井。溺陷辜罪，祸生忧滋。
684,泰之姤,悲鸣北行，失其长兄。伯中不幸，骸骨败亡。
685,泰之萃,羔衣豹裘，高扬我宇，君子维新。
686,泰之升,日中为市，各抱所有。交易资货，含珠怀宝，欣悦欢喜。
687,泰之困,振急绝理，恒阳不雨。物病焦干，华实无有。
688,泰之井,狐貉载剥，凌温厚蓐。寒棘为疾，何所不足。
689,泰之革,履践危难，脱执去患。入福喜门，见诲大君。
690,泰之鼎,四乱不安，东西为患。退止我足，毋出国城。乃得全完，赖齐生福。
691,泰之震,南国少子，材略美好。求我长女，贱薄不与。反得丑恶，后乃大悔。
692,泰之艮,妄弩失理，阳孤无辅。物病焦枯，年饥于黍。
693,泰之渐,倬然远咎，辟患害旱。田获三狐，见民为宝。
694,泰之归妹,逐鹿山颠，利去我西。维邪南北，无所不得。
695,泰之丰,龙蛇所聚，大水乐处。滑滑沛沛，使我无赖。
696,泰之旅,从风吹火，牵骐骥尾。易为功力，因催受福。
697,泰之巽,泽狗水凫，鸡畜少雏。不为家饶，心其亟逋。
698,泰之兑,水坏我里，东流为海。龟凫还嚣，不见慈母。
699,泰之涣,褰衣涉行，水深渍多。赖幸舟子，济脱无他。
700,泰之节,龟厌河海，陆行不止。自令枯槁，失其都市。有悔为咎，亦无及已。
701,泰之中孚,同本异叶，乐仁正德。东邻慕义，来兴我国。
702,泰之小过,桃李花实，累累日息。长大成熟，甘美可食，为我利福。
703,泰之既济,重瞳四乳，聪明顺理。无隐不形，微视千里。灾害不作，君子集聚。
704,泰之未济,实沈参墟，以义讨尤。次止结盟，以成霸功。
705,否之否,秦为虎狼，与晋争强，并吞其国，号曰始皇。
706,否之乾,江河淮济，天之奥府，众利所聚。可以饶有，乐我君子。
707,否之坤,天之所灾，凶不可居。转徙获福，留止危忧。
708,否之屯,名成德就，项领不试。景公耋老，尼父逝去。
709,否之蒙,持善避患，福禄长存。虽有豺虎，不能危患。
710,否之需,避患东西，反入祸门。糟糠不足，忧动我心。
711,否之讼,珪璧琮璋，执贽见王。百里宁戚，应聘齐秦。
712,否之师,扬水潜凿，使石洁白。衣素表朱，游戏皋沃。得君所愿，心志娱乐。
713,否之比,官爵相保，居之无咎。求免不得，使伯悔恨。
714,否之小畜,载车无裈，裸裎出门。小儿作笑，君为忧患。
715,否之履,把珠入口，为我利宝。得吾所有，欣然嘉喜。
716,否之泰,行不如止，直不如曲，进不如退，可以安吉。
717,否之同人,众鬼瓦聚，中有大怪，九身无头。魂惊魄去，不可以居。
718,否之大有,家给人足，颂声并作。四夷宾服，干戈囊阁。
719,否之谦,人面鬼口，长舌如斧。斫破瑚琏，殷商绝祀。
720,否之豫,南山之峻，真人所在。德配唐虞，天命为子。保佑饮享，身受大庆。
721,否之随,春桃生花，季女宜家。受福多年，男为邦君。
722,否之蛊,鸱鸮破斧，冲人危殆。赖其忠德，转祸为福，倾危复立。
723,否之临,猿堕高木，不踒手足。保我金玉，还归其室。
724,否之观,天之奥隅，尧舜所居。可以存身，保我邦家。
725,否之噬嗑,伯蹇叔盲，足痛难行。终日至暮，不离家乡。
726,否之贲,日月相望，光明盛昌。三圣茂功，仁德大隆。
727,否之剥,桃李花实，累累日息。长大成就，甘美可食。
728,否之复,入和出明，动作有光。运转休息，所为允康。
729,否之无妄,阴衰老极，阳见其德。履离载光，天下昭明。功业不长，虾蟆代王。
730,否之大畜,行役未已，新事复起。姬姜劳苦，不得休止。
731,否之颐,狐鸣室北，饥无所食。困于空丘，莫与同力。
732,否之大过,雄圣伏名，人匿麟远。走凤飞北，扰乱未息。
733,否之坎,病贫望幸，使伯行贩。开牢择羊，多得大牂。
734,否之离,翕翕＃＃，陨坠崩颠。灭其令名，长没不存。
735,否之咸,华薄实槁，衣敝入络。女工不成，丝布如玉。
736,否之恒,温山松柏，常茂不落。鸾凤所庇，得其欢乐。
737,否之遁,失持毋教，嘉偶出走。傫如失老，如丧家狗。
738,否之大壮,太乙驾骝，从天上来。征我季叔，封为鲁侯。
739,否之晋,双凫俱飞，欲归稻池。径涉萑泽，为矢所射，伤我胸臆。
740,否之明夷,深坑复平，天下安宁。意娱心乐，赖福长生。
741,否之家人,俱为天民，云过我西。风伯雨师，与我无恩。
742,否之睽,野鸟山鹊，来集六博。三枭四散，主人胜客。
743,否之蹇,北阴司寒，坚冰不温。凌人惰殆，大雹为灾。
744,否之解,伊伯致仕，去桀耕野。执顺以待，反和无咎。
745,否之损,秋风牵手，相提笑语。伯歌季舞，燕乐以喜。
746,否之益,徙巢去家，南过白马。东西受福，与母相得。
747,否之夬,鸟飞跌破，两两相和。不并四肢，但去莫疑。
748,否之姤,三年生狗，以戌为母。荆夷上侵，姬伯出走。
749,否之萃,破筐敝莒，弃损于道。坏落穿败，不复所实。
750,否之升,结纽得解，忧不为祸。食利仙家，受福安坐。
751,否之困,白日扬光，雷车避藏。云雨不行，各自还乡。
752,否之井,杜口结舌，心中怫郁。去灾生患，无所告冤。
753,否之革,赍贝赎狸，不听我辞。系于虎髯，牵不得来。
754,否之鼎,持鹤抱子，见蛇何咎。室家具在，不失其所。
755,否之震,逐兔山西，利走入门。赖我仁德，获为我福。
756,否之艮,兴役不休，与民争时。牛生五趾，行危为忧。
757,否之渐,春栗夏梨，少鲜稀有。斗千石万，贵不可求。
758,否之归妹,悲号北行，失其长兄。伯仲不幸，骸骨散王。
759,否之丰,赋敛重数，政为民贼。杼轴空尽，家去其室。
760,否之旅,履服自敌，殃咎并列，忧不能笑。
761,否之巽,杜口结舌，言为祸母。代伯受患，无所祷免。
762,否之兑,免冠进贤，步出朝门。仪礼不正，贼孽为患。
763,否之涣,娶于姜女，驾迎新妇。少齐在门，夫子悦喜。
764,否之节,牡羊稻园，闻虎喧欢。畏恐悚息，终无祸患。
765,否之中孚,老妾踞机，纬绝不知。女功不成，冬寒无衣。
766,否之小过,黑龙吐光，使阴复阳。荣猎载圣，六师以昌。
767,否之既济,东邻嫁女，为王妃后。庄公筑馆，以尊王母。归于京师，季姜悦喜。
768,否之未济,灌颉同徒，道顿跌踦。日辰不良，病为身祸。
769,同人之同人,槖置山颠，销锋铸刃。示不复用，天下大欢。
770,同人之乾,一臂六手，不使堵口。莫肯为用，利弃我走。
771,同人之坤,獐鹿逐牧，饱归其居，安息无悔。
772,同人之屯,鸿鱼逆流，至人潜渚。蓬蒿代柱，大屋颠倒。
773,同人之蒙,三羖五牂，相随俱行。迷入空泽，经涉六骏，为贼所伤。
774,同人之需,黄帝出游，驾龙乘马，东上泰山，难过齐鲁。邦国咸喜。
775,同人之讼,履危不安，心欲东西。步走逐鹿，空无所得。
776,同人之师,望尚阿衡，太宰周公，藩屏汤武，立为侯王。
777,同人之比,白龙黑虎，起伏俱怒，战于阪兆，蚩尤走败，死与鱼首。
778,同人之小畜,载石上山，步跌不前。颦眉之忧，不得所欢。
779,同人之履,周德既成，行轴不倾。中酉跌墓，耋老衰去，箴石不佑。
780,同人之泰,乘云带雨，与飞鸟俱。动举千里，见我慈母。
781,同人之否,赍贝赎狸，不听我辞。系于虎须，牵不得来。
782,同人之大有,三翼飞来，字我逢时。俱行先至，多得大利。
783,同人之谦,两足四翼，飞入吾国。宁我伯姊，与母相得。
784,同人之豫,案民湖池，玉贝文案。鱼如白云，一国获愿。
785,同人之随,季姬踟蹰，望我城隅。终日至暮，不见齐侯，君上无忧。
786,同人之蛊,龙渴求饮，黑云影从。河伯捧觞，跪进酒浆。流潦滂滂。
787,同人之临,出门逢患，与怒为怨。更相击刺，伤我手端。
788,同人之观,播天舞地，神明所守，安乐无咎。
789,同人之噬嗑,两金相击，勇武敢敌。终日大战，不破不缺。
790,同人之贲,车虽驾，两纼绝，马奔出，双轮脱，行不至，道遇害。
791,同人之剥,文山紫芝，雍梁朱草。长生和气，王以为宝。公尸侑食，福禄来处。
792,同人之复,把珠入口，为我畜宝。得吾所有，欣然嘉喜。
793,同人之无妄,负车上山，力尽行难。烈风雨雪，遮过我前。中道复还，忧者得欢。
794,同人之大畜,陶朱白珪，善贾息资。三致千金，德放上人。
795,同人之颐,子鉏执麟，春秋作元。阴圣将终，尼父悲心。
796,同人之大过,春日载阳，福履齐长。四时不忒，与乐为昌。
797,同人之坎,孔德如玉，出于幽谷。飞上乔木，鼓其羽翼，大光照国。
798,同人之离,瓯脱康居，慕仁入朝。湛露之欢，三爵毕恩。复归穷庐，以安其居。
799,同人之咸,秋冬夜行，照览星辰。道理利通，终身无患。
800,同人之恒,鸣鹄抱子，见蛇何咎。室家俱在，不失其所。
801,同人之遁,安如泰山，福禄屡臻。虽有豺虎，不能危身。
802,同人之大壮,老目瞢眠，不知东西。岁君失理，命直为曲。王称为宝。
803,同人之晋,植璧秉珪，请命于河。周公克敏，冲人瘳愈。
804,同人之明夷,大王执政，岁熟民富。国家丰有，王者有喜。
805,同人之家人,争讼相悖，和气不处。阴阳俱否，谷风母子。
806,同人之睽,齐鲁争言，战于龙门。构怨结祸，三世不安。
807,同人之蹇,鹿得美草，鸣呼其友。九族和睦，不离邦域。
808,同人之解,百里南行，虽微复明。去虞适秦，为穆国卿。
809,同人之损,梅李冬实，国多寇贼，扰乱并行，王不能制。
810,同人之益,府藏之富，王以赈贷。捕鱼河海，笱网多得，巨蛇大鳅。战于国郊，君遂走逃。
811,同人之夬,牡飞门启，忧患大结。去老乘马，不为身祸。
812,同人之姤,宜昌娶妇，东家歌舞长乐欢喜。
813,同人之萃,正阳之央，甲氏以亡。祸及留吁，湮灭为墟。
814,同人之升,凫过稻庐，甘乐麦鳅。虽驱不去，田畯怀忧。
815,同人之困,跛踦俱行，日暮车伤，失旅乏粮。
816,同人之井,龙门水穴，流行不害。民安其土，君臣相保。
817,同人之革,山陵四塞，遏我径路。欲前不得，复还故处。
818,同人之鼎,两虎争斗，血流漂忤。城郭空虚，蒿藜塞道。
819,同人之震,依东墙隅，志下心老。楚亭晨食，韩子低头。
820,同人之艮,龙生无常，或托空桑。凭乘风云，为尧立功。
821,同人之渐,魁行摇尾，逐云吹水。淤泥为陆，下田为稷。
822,同人之归妹,跛踦相随，日暮牛罢。陵迟后旅，失利亡雌。
823,同人之丰,三人俱行，北求大祥。长子病足，请季负囊。柳下之责，不失骊黄。
824,同人之旅,凤凰在左，麒麟在右。仁圣相遇，伊吕集聚。伤害不至，时无殃咎，福为我母。
825,同人之巽,乘筏渡海，虽深不殆。曾孙皇祖，累累具在，受其大福。
826,同人之兑,比目四翼，来安吾国。畿福上堂，与我同床。
827,同人之涣,娶于姜吕，驾迎新妇。少妻在门，夫子悦喜。
828,同人之节,螟虫为贼，害我稼穑。尽禾单麦，秋无所得。
829,同人之中孚,衣裳颠倒，为王来呼。成就东周，邦国大休。
830,同人之小过,王孙季子，相与为友。明允笃诚，升擢荐举。
831,同人之既济,涌泉滑滑，流行不绝。污为江海，败坏邑里，家无所处。闻虎不俱，向我笑喜。
832,同人之未济,桑户窃脂，啄粟不宜。乱政无常，使心乱明。
833,大有之大有,白虎张牙，征伐东来。朱雀前驱，赞道说辞。敌人请服，衔璧前驱。
834,大有之乾,南山大行，困于空桑。老沙为石，牛马无食。
835,大有之坤,蟠枝失岐，与母别离，绝不相知。
836,大有之屯,噂噂所言，莫如我垣。欢乐坚固，可以长安。
837,大有之蒙,李桃零坠，心思精愦。欢忧小愧，乱我魂气。
838,大有之需,火虽炽，在吾后。寇虽多，在吾右。身安吉，不危殆。
839,大有之讼,虎卧山隅，鹿过后朐，弓矢设张，猬为功曹，伏不敢起，遂至平野，得我美草。
840,大有之师,三火起明，雨灭齐光。高位疾颠，骄恣诛伤。
841,大有之比,疋居楚鸟，遇馋无辜，久散离忧。
842,大有之小畜,一室十子，同公异母。以义防患，祸灾不起。
843,大有之履,商人行旅，资无所有。贪贝利珠，留连王市。还家内顾，公子何咎。
844,大有之泰,禹将为君，北入昆仑。稍进阳光，登入温汤。代舜为治，功德昭明。
845,大有之否,乾行天德，覆帱无极，呕呼烹熟，使各自得。
846,大有之同人,南国茂盛，庶稷酿酒。可以享老，乐我嘉友。
847,大有之谦,方船备水，旁河燃火。终身为祸，与夫吉昌，永得安康。
848,大有之豫,雷行相逐，无有休息。战于平陆，为夷所覆。
849,大有之随,踯躅踟蹰，拊心搔头。五昼四夜，睹我齐候。
850,大有之蛊,大口宣唇，神使伸言。黄龙景星，出应侯门。与福上堂，天下吉昌。
851,大有之临,阴衰老极，阳建其德。离阳载光，天下昭明。
852,大有之观,三涂五岳，阳城太室，神明所伏，独无兵革，下有保国。
853,大有之噬嗑,年岁丰熟，政仁民乐。利以居止，旅人获福。
854,大有之贲,楚乌逢矢，不可久放。离居无辜，意昧精丧。作此哀诗，以告孔忧。
855,大有之剥,出门大步，与凶恶忤。骂公詈母，为我忧耻。
856,大有之复,火之井谷，杨芒生角。犯历天市，＃观太极，登上玉床，家易六公。
857,大有之无妄,牧羊逢狼，虽忧不伤。畏不惕息，终无祸殃。
858,大有之大畜,茧栗牺牲，敬奉贵神。享者饮食，受福多孙。望季不来，孔圣厄陈。
859,大有之颐,大泽治妆，南归羖羊。长伯为我，多得马牛。利于徙居。
860,大有之大过,枯树无枝，与子分离。饥寒莫养，独立哀悲。
861,大有之坎,天地九重，尧舜治中。正冠衣裳，宇宙平康。
862,大有之离,凫鹥游泾，君子以宁。履德不愆，福禄来成。
863,大有之咸,裸裎逐狐，为人所笑，牝鸡司晨，主作乱根。
864,大有之恒,典册法书，藏在兰台。虽遭乱溃，独不遇灾。
865,大有之遁,三痴俱狂，欲之平乡。迷惑失道，不知昏明。
866,大有之大壮,瘿瘤疡疥，为身疮害。疾病癃痢，常不危殆。
867,大有之晋,三豕俱走，斗于谷口。白豕不胜，死于坂下。
868,大有之明夷,赖主之光，受德之佑。遂造颠沛，独不凶咎。
869,大有之家人,上义崇德，以建大福。吉宜诰旦，周武功立。
870,大有之睽,四乱不安，东西为恨，身止无功。不出国城，乃得完全，赖其生福。
871,大有之蹇,金牙铁齿，西母王子。无有患殆，涉道大利。
872,大有之解,贺喜从福，日利蕃息，欢乐有得。
873,大有之损,昊天白日，照临我国。万民康宁，咸赖受福。
874,大有之益,左眇右盲，视暗不明。下民多蘖，君失其常。
875,大有之夬,吾有黍梁，委积道旁。有架服箱，运我到乡，藏于嘉仓。
876,大有之姤,殊类异路，心不相慕。牝豕无＃，鳏无室家。
877,大有之萃,雀行求食，出门见鹞。颠蹶上下，几无所处。
878,大有之升,野有积庾，穑人驾取，不逢虎狼，暮归其宅。
879,大有之困,肤敏之德，发愤忘食。虏豹禽越，为王求福。
880,大有之井,光祀春成，陈宝鸡鸣。阳明失道，不能自守，消亡为咎。
881,大有之革,左抱金玉，右得熊足。常盈不亡，获心所欲。
882,大有之鼎,履泥污足，名困身辱。两仇相得，身其为虚。
883,大有之震,安居重迁，不去其廛。禾米相闻，乐得常产。
884,大有之艮,天灾所游，凶不可居。转徙获福，留止危忧。
885,大有之渐,昧昧默默，不知白黑。景云乱扰，光明隐伏。犬戎攻来，幽王失国。
886,大有之归妹,凫雁哑哑，以水为宅。雌雄相和，常共娱乐。得其所欲。
887,大有之丰,长生无极，子孙千亿。柏柱载梁，坚固不倾。
888,大有之旅,麒麟凤凰，善政得祥。阴阳合调，国无灾殃。
889,大有之巽,天之奥隅，尧舜所居。可以存身，保我室家。
890,大有之兑,配合相迎，利之四邻。昏以为期，与福笑喜。
891,大有之涣,砥德砺材，果当成周。拜受大命，封为齐侯。
892,大有之节,与福俱坐，畜水备火。思患豫防，终无殃祸。
893,大有之中,晨昏潜处，候时熙熙。卒逢白日，为世荣主。
894,大有之小过,视日再光，与天相望。长生欢悦，与福为兄。
895,大有之既济,大头明目，载受嘉福。三雀飞来，与禄相触。
896,大有之未济,梗生荆山，命属输班。袍衣剥脱，夏热冬寒。立成枯槁，众人莫怜。
897,谦之谦,王乔无病，狗头不痛。亡跛失履，之我逆从。
898,谦之乾,喋嗫处曜，昧冥相待。多言少实，终无成事。
899,谦之坤,北辰紫宫，衣冠中立。含和达德，常受大福。铅刀攻玉，坚不可得。
900,谦之屯,东壁为光，数暗不明。王母嫉妒，乱我事业。
901,谦之蒙,下背其上，资明其让。子婴两头，陈破其墟。
902,谦之需,凤生会稽，稍具能飞。翱翔桂林，与众鸟雄。
903,谦之讼,凿井求玉，非卞氏宝。名困身辱，劳无所得。
904,谦之师,拜杰载复，送至东莱。百僚具举，君王嘉喜。
905,谦之比,安息康居，异国穹庐，非吾邦域，使伯忧戚。
906,谦之小畜,江河淮海，天之都市。商人受福，国家富有。
907,谦之履,同木异叶，乐仁上德。东邻慕义，来兴吾国。
908,谦之泰,白鹤衔珠，夜室反明。怀我德音，身受光荣。
909,谦之否,践履危难，脱厄去患。入福喜门，见吾邦君。
910,谦之同人,宫商既和，声音相随。骊驹在门，主君以欢。
911,谦之大有,天地配享，六位光明。阴阳顺序，以成厥功。
912,谦之豫,江河淮海，天之奥府，众利所聚，可以饶有，乐我君子。
913,谦之随,双凫俱飞，欲归稻池。径涉萑泽，为矢所射。伤我胸臆。
914,谦之蛊,伯仲叔季，日暮寝寐。裸卧失明，丧我贝囊，衔卸道旁。
915,谦之临,受阻文祖，承率复起。以义自闲，虽苦无咎。
916,谦之观,旋斗运枢，顺天无忧，与乐并俱。
917,谦之噬嗑,周师伐纣，战于牧野。甲子平旦，天下悦喜。
918,谦之贲,十雌百雏，常与母俱。抱鸡博虎，谁敢害诸。
919,谦之剥,桀跖并处，人民愁苦。拥兵荷粮，战于齐鲁。
920,谦之复,南山昊天，刺政闵身。侯悲无辜，皆憎为仇。
921,谦之无妄,百川朝海，流行不止。道虽辽远，无不到者。
922,谦之大畜,目不可合，忧来摇足，悚惕危惧，去其邦域。
923,谦之颐,乌夫鹄举，照临东海。龙降庭坚，为陶叔后。封于蓼丘，福履绥厚。
924,谦之大过,北方多枣，橘柚所聚。荷囊载黍，盈我框＃。
925,谦之坎,悬貆素食，食非其任。失望远民，实劳我心。
926,谦之离,羔羊皮革，君子朝服。辅政扶德，以合万国。
927,谦之咸,齐鲁争言，战于龙门。构怨致祸，三岁不安。
928,谦之恒,久阴霖雨，涂行泥潦。商人休止，市空无有。
929,谦之遁,桃雀窃脂，巢于小枝。摇动不安，为风所吹。寒心悚悚，常忧殆危。
930,谦之大壮,防患备灾，凶祸不来。虽困无灾，未或安休。
931,谦之晋,引颈绝粮，与母异门。不见所欢，孰与共言。
932,谦之明夷,鳅虾去海，藏于枯里。街巷偏隘，不得自在。南北无极，渴馁成疾。
933,谦之家人,恭宽信敏，功加四海。辟去不祥，喜来从母。
934,谦之睽,岁饥无年，虐政害民。乾溪骊山，秦楚结冤。
935,谦之蹇,右目无瞳，偏视寡明。十步之外，不知何公。
936,谦之解,蜩螗欢喜，草木喜茂。百果蕃炽，日益庶行。
937,谦之损,常德自如，安坐无尤。幸如贵乡，到老安荣。
938,谦之益,狡兔＃＃，良犬逐咋。雄雉受害，为鹰所获。
939,谦之夬,春桃生花，季女宜家。受福多年，男为封君。
940,谦之姤,山石朽弊，少崩坠落。上下离心，君受其祟。
941,谦之萃,水坏我里，东流为海。龟凫欢哗，不睹我家。
942,谦之升,七窍龙身，造化八元。法天则地，顺时施恩。富贵长存。
943,谦之困,四夷慕德，来兴我国。文君徙降，同受福德。
944,谦之井,华首山头，仙道所游。利以居上，长无咎忧。
945,谦之革,鹯鸠徙巢，西至平州。遭逢雷雹，辟我苇芦。室家饥寒，思吾故初。
946,谦之鼎,狗无前足，阴谋叛背，为身害贼。
947,谦之震,阳孤亢极，多所恨惑。车倾盖亡，身常惊惶。乃得其愿，雌雄相从。
948,谦之艮,空巢注猪，豚彘不至。张弓祝鸡，雄父飞去。
949,谦之渐,长夜短日，阴为阳贼。万物空枯，藏于北陆。
950,谦之归妹,爪牙之士，怨毒乞父。转忧于己，伤不及母。
951,谦之丰,拜跪请兔，不得臭腐。挽眉衔指，低头北去。
952,谦之旅,有莘季女，为王妃后。贵夫寿子，母字四海。
953,谦之巽,季姜踟蹰，待孟城隅。终日至暮，不见齐侯。
954,谦之兑,邯郸反言，父兄生患。涉此忧恨，卒死不还。
955,谦之涣,逐鹿山颠，利去我西。维邪南北，所求不得。
956,谦之节,穿鼻系株，为虎所拘。王母祀福，祸不成灾，突然自来。
957,谦之中孚,虎豹熊罴，游戏山谷。君子仁贤，亦得所欲。
958,谦之小过,梅李冬实，国多盗贼，扰乱并作，王不得制。
959,谦之既济,望幸不到，文章未就。羊子逐兔，犬踦不得。
960,谦之未济,千柱百梁，终不倾僵。仁智辅圣，周宗宁康。
961,豫之豫,冰将泮散，鸣雁雍雍。丁男长女，可以会同。生育贤人。
962,豫之乾,龙马上山，绝无水泉。喉焦唇干，口不能言。
963,豫之坤,蔡侯朝楚，留连江滨。逾时历月，思其后君。
964,豫之屯,文厄羑里，汤囚夏台。仁圣不害，数困何忧。免于缧绁，为世明侯。
965,豫之蒙,典册法书，藏阁兰台。虽遭乱溃，独不遇灾。
966,豫之需,毡裘羶国，文礼不＃。跨马空弦，伐我都邑。
967,豫之讼,星陨如雨，力弱无辅。强阴制阳，不得安土。
968,豫之师,蝗啮我稻，驱不可去。实穗无有，但见空藁。
969,豫之比,虎饥欲食，为猬而伏。禹导龙门，避咎除患，元丑以安。
970,豫之小畜,蝙蝠夜藏，不敢昼行。酒是酸浆，鲂死鲍羹。
971,豫之履,精华堕落，形体丑恶。龃龉挫顿，枯槁腐蠹。
972,豫之泰,两足不获，难以远行。疾步不能，后旅失时。
973,豫之否,令妻寿母，宜家无咎。君子之欢，得以长久。
974,豫之同人,饥蚕作室，缗多乱缠，绪不可得。
975,豫之大有,子鉏执麟，春秋作元。阴圣将终，尼父悲心。
976,豫之谦,螟虫为贼，害我稼蔷。禾殚麦尽，秋无所得。
977,豫之随,忧在腹内，山崩为疾。祸起萧墙，竟制其国。
978,豫之蛊,茹芝饵黄，饮食玉瑛。与神流通，长无忧凶。
979,豫之临,一夫两心，技刺不深。所为无功，求事不成。
980,豫之观,十里望烟，散涣四方。形容灭亡，终不见君。
981,豫之噬嗑,张弓控弩，经涉山道。虽有伏虎，谁敢害诸。
982,豫之贲,泉闭泽竭，王母饥渴。君子困穷，乃徐有说。
983,豫之剥,野鸢山雀，弈棋六博。山枭四散，主人胜客。
984,豫之复,羊惊马走，上下挥扰。鼓音不绝，顷公奔败。
985,豫之无妄,黄帝神明，八子圣聪。俱受大福，天下康平。
986,豫之大畜,住车醊酒，疾风暴起。泛乱福器，飞扬位卓，明神降禄，道无害寇。
987,豫之颐,腾蛇乘龙，宋郑饥凶，民食草蓬。
988,豫之大过,扬水潜凿，使石洁白。里素表朱，游戏皋泽。得君所欲。心志娱乐。
989,豫之坎,西过虎庐，惊我前驱。虽忧无危。
990,豫之离,衣成无开，不知所穿。客指东西，未得使安。
991,豫之咸,晨风文翰，随时就温。雄雌相和，不忧危殆。
992,豫之恒,心多悔恨，出言为怪。枭鸣室比，声丑可恶。请谒不得。
993,豫之遁,离女去夫，闵思苦忧。齐子无良，使我心悲。
994,豫之大壮,过时不归，雌雄苦悲。徘徊外国，与叔分离。
995,豫之晋,鹊巢柳树，鸠夺其处。任力德薄，天命不佑。
996,豫之明夷,鹤盗我珠，逃于东都。鹄怒追求，郭氏之墟。不见踪迹，使伯心忧。
997,豫之家人,夫妇相背，和气弗处。阴阳俱否，庄姜无子。
998,豫之睽,月走日步，趣不同舍。夫妻反目，主君失居。
999,豫之蹇,洛阳嫁女，善逐人走。三寡失夫，妇妒无子。
1000,豫之解,周德既成，杼轴不倾。太宰东西，夏国康宁。
1001,豫之损,日中为市，交易资宝。名利所有，心悦以喜。
1002,豫之益,童妾独宿，长女为室，利无所得。
1003,豫之夬,忠言辅成，王政不倾。公刘兆基，文武绥之。
1004,豫之姤,牛骥同堂，郭氏以亡。国破为墟，主君奔逃。
1005,豫之萃,中原有菽，以待雉食。饮御诸友，所求大得。
1006,豫之升,多虚少实，语不可知。尊空无酒，飞言如雨。
1007,豫之困,青蝇集蕃，君信谗言，害贤伤忠，患生妇人。
1008,豫之井,履株履舆，马惊伤车，步为我忧。
1009,豫之革,商风召寇，呼我北盗。间谍内应，与我争斗。殚以宝藏。主人不胜。
1010,豫之鼎,逸豫好游，不安其家。或有少姬，久迷不来。
1011,豫之震,无有骅骝，畜之以时。东家翁孺，来诣我车，价极可与，后无贱忧。
1012,豫之艮,厄穷上通，与尧相逢。登升大麓，国无凶人。
1013,豫之渐,众兔俱走，熊罴在后。踦不能进，失信寡处。
1014,豫之归妹,旁行不远，三思复返。心多畏恶，中日止舍。
1015,豫之丰,仓皇奉使，中山以孝。文侯悦喜，击子征召。
1016,豫之旅,入天门，守地户，君安乐，不劳苦。
1017,豫之巽,等阶上堂，见吾父兄。左酒右浆，与福相迎。
1018,豫之兑,秋蛇向穴，不失其节。夫人姜氏，自其复入。
1019,豫之涣,忍丑少羞，有面无头。耗减寡虚，日以削消。
1020,豫之节,景星照堂，麟游凤翔。仁施大行，颂声以兴。
1021,豫之中孚,竿旄旌旗，执帜在郊。虽有宝珠，无路致之。
1022,豫之小过,李华再实，鸿卵降集。仁德以兴，萌国受福。
1023,豫之既济,白马赤乌，战于东都。天辅有德，败亡为忧。
1024,豫之未济,采薪得麟，大命陨颠。豪雄争名，天下四分。
1025,随之随,鸟鸣东西，迎其群侣。似有所属，不得自专，空返独还。
1026,随之乾,必自易处，不知香臭。君密于是，失其宠位。
1027,随之坤,唐虞相辅，鸟兽喜舞。安康无事，国家富有。
1028,随之屯,左辅右弼，金玉满匮。常盈不亡，富如仓廒。
1029,随之蒙,苍龙单独，与石相触，摧折两角。
1030,随之需,钓目厌部，善逐人走。来嫁无父，不安其庐。
1031,随之讼,逐兔驱狼，避去不祥。凶恶北行，与善相逢。
1032,随之师,赍贝赎狸，不听我辞。系于虎须，牵不得来。
1033,随之比,同载共舆，中道别去。丧我元夫，独与孤居。
1034,随之小畜,奋翅鼓翼，将之嘉国。愆期失时，乃得所欲。
1035,随之履,目倾心惑，夏姬在侧。申公颠倒，巫臣乱国。
1036,随之泰,博鸠弹鹊，逐兔山北，丸尽日暮，失获无得。
1037,随之否,鹿求其子，虎庐之里。唐伯李耳，贪不我许。
1038,随之同人,败鱼鲍室，臭不可息。上山履涂，归伤我足。
1039,随之大有,花灯百枝，消暗衰微。精光讫尽，奄有灰靡。
